=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.26 17:07:55 =~=~=~=~=~=~=~=~=~=~=~=
0, -24509.80, 0.00, -24509.80, 0.00, 
2, -15788.82, 0.59, -15836.74, 0.58, 
5, -15501.31, 0.61, -15692.98, 0.59, 
8, -15357.56, 0.62, -15549.23, 0.60, 
10, -15117.97, 0.63, -15405.48, 0.61, 
13, -14926.30, 0.65, -15261.73, 0.62, 
16, -14734.63, 0.66, -15117.97, 0.63, 
19, -14590.88, 0.67, -15022.14, 0.64, 
22, -14495.04, 0.67, -14926.30, 0.65, 
24, -14399.21, 0.68, -14830.47, 0.65, 
27, -14303.38, 0.69, -14782.55, 0.65, 
30, -14255.46, 0.69, -14734.63, 0.66, 
33, -14159.62, 0.70, -14686.71, 0.66, 
36, -14159.62, 0.70, -14686.71, 0.66, 
39, -14111.71, 0.70, -14638.80, 0.66, 
42, -14111.71, 0.70, -14638.80, 0.66, 
45, -14111.71, 0.70, -14638.80, 0.66, 
47, -14111.71, 0.70, -14638.80, 0.66, 
50, -13967.95, 0.71, -14207.54, 0.69, 
53, -13632.53, 0.73, -13824.20, 0.72, 
56, -13249.19, 0.76, -13440.86, 0.75, 
59, -12913.77, 0.78, -13057.52, 0.77, 
62, -12530.43, 0.81, -12722.10, 0.79, 
65, -12242.92, 0.83, -12338.76, 0.82, 
67, -12003.34, 0.84, -12147.09, 0.83, 
70, -11667.91, 0.86, -11811.67, 0.85, 
73, -11380.41, 0.88, -11476.24, 0.88, 
76, -11092.90, 0.90, -11188.74, 0.90, 
79, -10757.48, 0.93, -10853.31, 0.92, 
82, -10517.89, 0.94, -10565.81, 0.94, 
92, -9607.46, 1.00, -9607.46, 1.00, 
102, -8792.86, 1.06, -8792.86, 1.06, 
112, -8026.18, 1.11, -8026.18, 1.11, 
122, -7307.42, 1.16, -7307.42, 1.16, 
132, -6684.49, 1.20, -6636.57, 1.20, 
142, -6109.48, 1.24, -6061.56, 1.24, 
152, -5582.39, 1.27, -5534.47, 1.28, 
162, -5103.22, 1.31, -5007.38, 1.31, 
172, -4624.04, 1.34, -4576.12, 1.34, 
182, -4240.70, 1.36, -4192.78, 1.37, 
192, -3905.28, 1.39, -3809.44, 1.39, 
202, -3521.94, 1.41, -3474.02, 1.42, 
212, -3234.43, 1.43, -3138.60, 1.44, 
222, -2899.01, 1.45, -2851.09, 1.46, 
232, -2659.42, 1.47, -2563.59, 1.48, 
242, -2371.92, 1.49, -2371.92, 1.49, 
252, -2180.25, 1.50, -2132.33, 1.51, 
262, -1940.66, 1.52, -1940.66, 1.52, 
272, -1748.99, 1.53, -1748.99, 1.53, 
282, -1557.32, 1.55, -1557.32, 1.55, 
292, -1413.57, 1.55, -1413.57, 1.55, 
302, -1269.81, 1.56, -1269.81, 1.56, 
312, -1078.14, 1.58, -1126.06, 1.57, 
322, -982.31, 1.58, -1030.23, 1.58, 
332, -838.56, 1.59, -886.47, 1.59, 
342, -694.80, 1.60, -790.64, 1.60, 
352, -646.89, 1.61, -694.80, 1.60, 
362, -551.05, 1.61, -598.97, 1.61, 
372, -455.22, 1.62, -503.13, 1.62, 
382, -359.38, 1.63, -455.22, 1.62, 
392, -263.55, 1.63, -407.30, 1.62, 
402, -215.63, 1.64, -311.46, 1.63, 
412, -119.79, 1.64, -263.55, 1.63, 
422, -23.96, 1.65, -215.63, 1.64, 
432, -23.96, 1.65, -167.71, 1.64, 
442, 23.96, 1.65, -119.79, 1.64, 
452, 71.88, 1.65, -71.88, 1.65, 
462, 119.79, 1.66, -23.96, 1.65, 
472, 167.71, 1.66, -23.96, 1.65, 
482, 215.63, 1.66, 23.96, 1.65, 
492, 263.55, 1.67, 71.88, 1.65, 
502, 311.46, 1.67, 71.88, 1.65, 
512, 311.46, 1.67, 119.79, 1.66, 
522, 359.38, 1.67, 119.79, 1.66, 
532, 407.30, 1.68, 119.79, 1.66, 
542, 407.30, 1.68, 167.71, 1.66, 
552, 455.22, 1.68, 167.71, 1.66, 
562, 455.22, 1.68, 215.63, 1.66, 
572, 503.13, 1.68, 215.63, 1.66, 
582, 503.13, 1.68, 215.63, 1.66, 
592, 503.13, 1.68, 263.55, 1.67, 
602, 551.05, 1.69, 263.55, 1.67, 
612, 551.05, 1.69, 263.55, 1.67, 
622, 598.97, 1.69, 263.55, 1.67, 
632, 598.97, 1.69, 263.55, 1.67, 
642, 598.97, 1.69, 311.46, 1.67, 
652, 598.97, 1.69, 311.46, 1.67, 
662, 598.97, 1.69, 311.46, 1.67, 
672, 598.97, 1.69, 311.46, 1.67, 
682, 646.89, 1.69, 311.46, 1.67, 
692, 646.89, 1.69, 359.38, 1.67, 
702, 646.89, 1.69, 311.46, 1.67, 
712, 646.89, 1.69, 359.38, 1.67, 
722, 694.80, 1.70, 359.38, 1.67, 
732, 646.89, 1.69, 359.38, 1.67, 
742, 694.80, 1.70, 359.38, 1.67, 
752, 694.80, 1.70, 359.38, 1.67, 
762, 694.80, 1.70, 359.38, 1.67, 
772, 694.80, 1.70, 359.38, 1.67, 
782, 694.80, 1.70, 359.38, 1.67, 
792, 742.72, 1.70, 407.30, 1.68, 
802, 742.72, 1.70, 359.38, 1.67, 
812, 742.72, 1.70, 359.38, 1.67, 
822, 694.80, 1.70, 359.38, 1.67, 
832, 742.72, 1.70, 407.30, 1.68, 
842, 742.72, 1.70, 407.30, 1.68, 
852, 742.72, 1.70, 359.38, 1.67, 
862, 742.72, 1.70, 407.30, 1.68, 
872, 742.72, 1.70, 407.30, 1.68, 
