=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.26 17:41:43 =~=~=~=~=~=~=~=~=~=~=~=
882, 742.72, 1.70, 551.05, 1.69, 
892, 742.72, 1.70, 551.05, 1.69, 
902, 742.72, 1.70, 551.05, 1.69, 
912, 790.64, 1.70, 598.97, 1.69, 
922, 742.72, 1.70, 598.97, 1.69, 
932, 742.72, 1.70, 598.97, 1.69, 
942, 742.72, 1.70, 598.97, 1.69, 
952, 742.72, 1.70, 598.97, 1.69, 
962, 790.64, 1.70, 598.97, 1.69, 
972, 742.72, 1.70, 598.97, 1.69, 
982, 790.64, 1.70, 598.97, 1.69, 
992, 790.64, 1.70, 598.97, 1.69, 
1002, 742.72, 1.70, 598.97, 1.69, 
1012, 790.64, 1.70, 598.97, 1.69, 
1022, 790.64, 1.70, 598.97, 1.69, 
1032, 790.64, 1.70, 598.97, 1.69, 
1042, 790.64, 1.70, 598.97, 1.69, 
1052, 790.64, 1.70, 598.97, 1.69, 
1062, 790.64, 1.70, 598.97, 1.69, 
1072, 790.64, 1.70, 598.97, 1.69, 
1082, 790.64, 1.70, 598.97, 1.69, 
1092, 742.72, 1.70, 598.97, 1.69, 
1102, 742.72, 1.70, 598.97, 1.69, 
1112, 742.72, 1.70, 598.97, 1.69, 
1122, 790.64, 1.70, 598.97, 1.69, 
1132, 790.64, 1.70, 598.97, 1.69, 
1142, 790.64, 1.70, 598.97, 1.69, 
1152, 790.64, 1.70, 598.97, 1.69, 
1162, 742.72, 1.70, 598.97, 1.69, 
1172, 790.64, 1.70, 598.97, 1.69, 
1182, 790.64, 1.70, 598.97, 1.69, 
1192, 790.64, 1.70, 598.97, 1.69, 
1202, 790.64, 1.70, 598.97, 1.69, 
1212, 790.64, 1.70, 598.97, 1.69, 
1222, 790.64, 1.70, 598.97, 1.69, 
1232, 790.64, 1.70, 598.97, 1.69, 
1242, 790.64, 1.70, 598.97, 1.69, 
1252, 790.64, 1.70, 598.97, 1.69, 
1262, 790.64, 1.70, 646.89, 1.69, 
1272, 790.64, 1.70, 598.97, 1.69, 
1282, 790.64, 1.70, 694.80, 1.70, 
1292, 790.64, 1.70, 694.80, 1.70, 
1302, 790.64, 1.70, 598.97, 1.69, 
1312, 790.64, 1.70, 646.89, 1.69, 
1322, 790.64, 1.70, 598.97, 1.69, 
1332, 790.64, 1.70, 646.89, 1.69, 
1342, 790.64, 1.70, 646.89, 1.69, 
1352, 790.64, 1.70, 646.89, 1.69, 
1362, 790.64, 1.70, 646.89, 1.69, 
1372, 790.64, 1.70, 694.80, 1.70, 
1382, 790.64, 1.70, 598.97, 1.69, 
1392, 790.64, 1.70, 598.97, 1.69, 
1402, 790.64, 1.70, 646.89, 1.69, 
1412, 790.64, 1.70, 598.97, 1.69, 
1422, 790.64, 1.70, 598.97, 1.69, 
1432, 790.64, 1.70, 742.72, 1.70, 
1442, 790.64, 1.70, 598.97, 1.69, 
1452, 790.64, 1.70, 646.89, 1.69, 
1462, 790.64, 1.70, 598.97, 1.69, 
1472, 790.64, 1.70, 598.97, 1.69, 
1482, 790.64, 1.70, 646.89, 1.69, 
1492, 790.64, 1.70, 694.80, 1.70, 
1502, 790.64, 1.70, 598.97, 1.69, 
1512, 790.64, 1.70, 646.89, 1.69, 
1522, 838.56, 1.71, 646.89, 1.69, 
1532, 790.64, 1.70, 598.97, 1.69, 
1542, 790.64, 1.70, 646.89, 1.69, 
1552, 790.64, 1.70, 646.89, 1.69, 
1562, 790.64, 1.70, 646.89, 1.69, 
1572, 790.64, 1.70, 646.89, 1.69, 
1582, 790.64, 1.70, 646.89, 1.69, 
1592, 790.64, 1.70, 646.89, 1.69, 
1602, 790.64, 1.70, 694.80, 1.70, 
1612, 790.64, 1.70, 646.89, 1.69, 
1622, 790.64, 1.70, 646.89, 1.69, 
1632, 790.64, 1.70, 598.97, 1.69, 
1642, 790.64, 1.70, 646.89, 1.69, 
