0,-24509.8,0,-24509.8,0, ,,,,,,Bubble C,-5925.796667,,Bubble G,-5845.93
2,-15740.9,0.59,-15836.74,0.58, ,,AV offset B,-18584.00333,18584.00333,,,2843.103333,,,2827.13
5,-15501.31,0.61,-15645.07,0.6, ,,AV offset D,-18663.87,18663.87,,,3082.693333,,,3018.8
8,-15309.64,0.62,-15501.31,0.61, ,,,,,,,3274.363333,,,3162.56
11,-15117.97,0.63,-15357.56,0.62, ,,,C,G,,,3466.033333,,,3306.31
13,-14878.39,0.65,-15213.81,0.63, ,,At 80,8114.033333,8098.06,,,3705.613333,,,3450.06
16,-14734.63,0.66,-15070.06,0.64, ,,AV after 80,19105.66276,19226.59986,,,3849.373333,,,3593.81
19,-14590.88,0.67,-14974.22,0.64, ,,Max,19326.72333,19502.43,,,3993.123333,,,3689.65
22,-14447.13,0.68,-14878.39,0.65, ,,Std after 80,903.4472874,893.9745134,,,4136.873333,,,3785.48
25,-14351.29,0.68,-14830.47,0.65, ,,,,,,,4232.713333,,,3833.4
28,-14255.46,0.69,-14782.55,0.65, ,,,,,,,4328.543333,,,3881.32
30,-14207.54,0.69,-14686.71,0.66, ,,,,,,,4376.463333,,,3977.16
33,-14159.62,0.7,-14638.8,0.66, ,,,,,,,4424.383333,,,4025.07
36,-14111.71,0.7,-14638.8,0.66, ,,,,,,,4472.293333,,,4025.07
39,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4520.213333,,,4072.99
42,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4520.213333,,,4072.99
45,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4520.213333,,,4072.99
48,-14111.71,0.7,-14447.13,0.68, ,,,,,,,4472.293333,,,4216.74
51,-13967.95,0.71,-14207.54,0.69, ,,,,,,,4616.053333,,,4456.33
53,-13584.61,0.74,-13824.2,0.72, ,,,,,,,4999.393333,,,4839.67
56,-13249.19,0.76,-13440.86,0.75, ,,,,,,,5334.813333,,,5223.01
59,-12865.85,0.78,-13057.52,0.77, ,,,,,,,5718.153333,,,5606.35
62,-12530.43,0.81,-12674.18,0.8, ,,,,,,,6053.573333,,,5989.69
65,-12242.92,0.83,-12338.76,0.82, ,,,,,,,6341.083333,,,6325.11
68,-12003.34,0.84,-12099.17,0.84, ,,,,,,,6580.663333,,,6564.7
70,-11715.83,0.86,-11811.67,0.85, ,,,,,,,6868.173333,,,6852.2
73,-11380.41,0.88,-11476.24,0.88, ,,,,,,,7203.593333,,,7187.63
76,-11092.9,0.9,-11140.82,0.9, ,,,,,,,7491.103333,,,7523.05
79,-10757.48,0.93,-10853.31,0.92, ,,,,,,,7826.523333,,,7810.56
82,-10469.97,0.95,-10565.81,0.94, ,,,,,,,8114.033333,,,8098.06
92,-9559.54,1.01,-9607.46,1, ,,,,,,,9024.463333,,,9056.41
102,-8792.86,1.06,-8744.95,1.06, ,,,,,,,9791.143333,,,9918.92
112,-8026.18,1.11,-7978.26,1.11, ,,,,,,,10557.82333,,,10685.61
122,-7307.42,1.16,-7259.5,1.16, ,,,,,,,11276.58333,,,11404.37
132,-6684.49,1.2,-6588.66,1.21, ,,,,,,,11899.51333,,,12075.21
142,-6157.4,1.24,-6013.65,1.25, ,,,,,,,12426.60333,,,12650.22
152,-5678.22,1.27,-5534.47,1.28, ,,,,,,,12905.78333,,,13129.4
162,-5151.13,1.3,-5055.3,1.31, ,,,,,,,13432.87333,,,13608.57
172,-4719.87,1.33,-4576.12,1.34, ,,,,,,,13864.13333,,,14087.75
182,-4288.62,1.36,-4144.86,1.37, ,,,,,,,14295.38333,,,14519.01
192,-3905.28,1.39,-3761.52,1.4, ,,,,,,,14678.72333,,,14902.35
