0,-24509.8,0,-24509.8,0, ,,,,,,Bubble C,-5957.74,,Bubble G,-5861.903333
2,-15692.98,0.59,-15788.82,0.59, ,,AV offset B,-18552.06,18552.06,,,2859.08,,,2859.076667
5,-15453.4,0.61,-15645.07,0.6, ,,AV offset D,-18647.89667,18647.89667,,,3098.66,,,3002.826667
8,-15309.64,0.62,-15501.31,0.61, ,,,,,,,3242.42,,,3146.586667
10,-15070.06,0.64,-15357.56,0.62, ,,,C,G,,,3482,,,3290.336667
13,-14878.39,0.65,-15213.81,0.63, ,,At 80,8082.09,8130.006667,,,3673.67,,,3434.086667
16,-14686.71,0.66,-15070.06,0.64, ,,AV after 80,19372.02475,19422.48145,,,3865.35,,,3577.836667
19,-14542.96,0.67,-14974.22,0.64, ,,Max,19630.2,19726.03667,,,4009.1,,,3673.676667
22,-14447.13,0.68,-14878.39,0.65, ,,Std after 80,941.0875244,921.2762705,,,4104.93,,,3769.506667
25,-14351.29,0.68,-14830.47,0.65, ,,,,,,,4200.77,,,3817.426667
27,-14255.46,0.69,-14734.63,0.66, ,,,,,,,4296.6,,,3913.266667
30,-14207.54,0.69,-14686.71,0.66, ,,,,,,,4344.52,,,3961.186667
33,-14111.71,0.7,-14638.8,0.66, ,,,,,,,4440.35,,,4009.096667
36,-14111.71,0.7,-14638.8,0.66, ,,,,,,,4440.35,,,4009.096667
39,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4488.27,,,4057.016667
42,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4488.27,,,4057.016667
45,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4488.27,,,4057.016667
47,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4488.27,,,4057.016667
50,-14015.87,0.71,-14207.54,0.69, ,,,,,,,4536.19,,,4440.356667
53,-13584.61,0.74,-13776.28,0.72, ,,,,,,,4967.45,,,4871.616667
56,-13249.19,0.76,-13392.94,0.75, ,,,,,,,5302.87,,,5254.956667
59,-13009.6,0.77,-13153.36,0.76, ,,,,,,,5542.46,,,5494.536667
61,-12674.18,0.8,-12770.01,0.79, ,,,,,,,5877.88,,,5877.886667
64,-12290.84,0.82,-12434.59,0.81, ,,,,,,,6261.22,,,6213.306667
67,-12003.34,0.84,-12099.17,0.84, ,,,,,,,6548.72,,,6548.726667
70,-11667.91,0.86,-11811.67,0.85, ,,,,,,,6884.15,,,6836.226667
73,-11380.41,0.88,-11476.24,0.88, ,,,,,,,7171.65,,,7171.656667
76,-11044.98,0.91,-11140.82,0.9, ,,,,,,,7507.08,,,7507.076667
79,-10757.48,0.93,-10853.31,0.92, ,,,,,,,7794.58,,,7794.586667
82,-10469.97,0.95,-10517.89,0.94, ,,,,,,,8082.09,,,8130.006667
92,-9607.46,1,-9607.46,1, ,,,,,,,8944.6,,,9040.436667
102,-8744.95,1.06,-8744.95,1.06, ,,,,,,,9807.11,,,9902.946667
112,-8026.18,1.11,-7978.26,1.11, ,,,,,,,10525.88,,,10669.63667
122,-7355.34,1.15,-7259.5,1.16, ,,,,,,,11196.72,,,11388.39667
132,-6732.41,1.2,-6588.66,1.21, ,,,,,,,11819.65,,,12059.23667
142,-6109.48,1.24,-6013.65,1.25, ,,,,,,,12442.58,,,12634.24667
152,-5582.39,1.27,-5486.55,1.28, ,,,,,,,12969.67,,,13161.34667
162,-5151.13,1.3,-5007.38,1.31, ,,,,,,,13400.93,,,13640.51667
172,-4624.04,1.34,-4528.2,1.35, ,,,,,,,13928.02,,,14119.69667
182,-4288.62,1.36,-4144.86,1.37, ,,,,,,,14263.44,,,14503.03667
192,-3857.36,1.39,-3713.61,1.4, ,,,,,,,14694.7,,,14934.28667
202,-3521.94,1.41,-3378.18,1.42, ,,,,,,,15030.12,,,15269.71667
212,-3186.51,1.44,-3042.76,1.45, ,,,,,,,15365.55,,,15605.13667
222,-2851.09,1.46,-2755.26,1.46, ,,,,,,,15700.97,,,15892.63667
232,-2611.5,1.47,-2467.75,1.48, ,,,,,,,15940.56,,,16180.14667
242,-2371.92,1.49,-2228.16,1.5, ,,,,,,,16180.14,,,16419.73667
252,-2132.33,1.51,-1988.58,1.52, ,,,,,,,16419.73,,,16659.31667
262,-1940.66,1.52,-1748.99,1.53, ,,,,,,,16611.4,,,16898.90667
272,-1701.07,1.54,-1605.24,1.54, ,,,,,,,16850.99,,,17042.65667
282,-1509.4,1.55,-1413.57,1.55, ,,,,,,,17042.66,,,17234.32667
292,-1317.73,1.56,-1173.98,1.57, ,,,,,,,17234.33,,,17473.91667
302,-1173.98,1.57,-1078.14,1.58, ,,,,,,,17378.08,,,17569.75667
312,-982.31,1.58,-886.47,1.59, ,,,,,,,17569.75,,,17761.42667
322,-886.47,1.59,-790.64,1.6, ,,,,,,,17665.59,,,17857.25667
332,-694.8,1.6,-646.89,1.61, ,,,,,,,17857.26,,,18001.00667
342,-646.89,1.61,-551.05,1.61, ,,,,,,,17905.17,,,18096.84667
352,-503.13,1.62,-407.3,1.62, ,,,,,,,18048.93,,,18240.59667
362,-455.22,1.62,-359.38,1.63, ,,,,,,,18096.84,,,18288.51667
372,-407.3,1.62,-311.46,1.63, ,,,,,,,18144.76,,,18336.43667
382,-311.46,1.63,-263.55,1.63, ,,,,,,,18240.6,,,18384.34667
392,-215.63,1.64,-167.71,1.64, ,,,,,,,18336.43,,,18480.18667
402,-119.79,1.64,-71.88,1.65, ,,,,,,,18432.27,,,18576.01667
412,23.96,1.65,23.96,1.65, ,,,,,,,18576.02,,,18671.85667
422,23.96,1.65,71.88,1.65, ,,,,,,,18576.02,,,18719.77667
432,71.88,1.65,71.88,1.65, ,,,,,,,18623.94,,,18719.77667
442,119.79,1.66,167.71,1.66, ,,,,,,,18671.85,,,18815.60667
452,215.63,1.66,215.63,1.66, ,,,,,,,18767.69,,,18863.52667
462,311.46,1.67,311.46,1.67, ,,,,,,,18863.52,,,18959.35667
472,311.46,1.67,311.46,1.67, ,,,,,,,18863.52,,,18959.35667
482,407.3,1.68,407.3,1.68, ,,,,,,,18959.36,,,19055.19667
492,503.13,1.68,503.13,1.68, ,,,,,,,19055.19,,,19151.02667
502,503.13,1.68,551.05,1.69, ,,,,,,,19055.19,,,19198.94667
512,503.13,1.68,503.13,1.68, ,,,,,,,19055.19,,,19151.02667
522,503.13,1.68,455.22,1.68, ,,,,,,,19055.19,,,19103.11667
532,551.05,1.69,551.05,1.69, ,,,,,,,19103.11,,,19198.94667
542,646.89,1.69,598.97,1.69, ,,,,,,,19198.95,,,19246.86667
552,646.89,1.69,598.97,1.69, ,,,,,,,19198.95,,,19246.86667
562,646.89,1.69,598.97,1.69, ,,,,,,,19198.95,,,19246.86667
572,694.8,1.7,646.89,1.69, ,,,,,,,19246.86,,,19294.78667
582,742.72,1.7,694.8,1.7, ,,,,,,,19294.78,,,19342.69667
592,742.72,1.7,742.72,1.7, ,,,,,,,19294.78,,,19390.61667
602,838.56,1.71,790.64,1.7, ,,,,,,,19390.62,,,19438.53667
612,838.56,1.71,934.39,1.71, ,,,,,,,19390.62,,,19582.28667
622,838.56,1.71,790.64,1.7, ,,,,,,,19390.62,,,19438.53667
632,838.56,1.71,838.56,1.71, ,,,,,,,19390.62,,,19486.45667
642,838.56,1.71,790.64,1.7, ,,,,,,,19390.62,,,19438.53667
652,838.56,1.71,742.72,1.7, ,,,,,,,19390.62,,,19390.61667
662,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
672,790.64,1.7,790.64,1.7, ,,,,,,,19342.7,,,19438.53667
682,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
692,838.56,1.71,742.72,1.7, ,,,,,,,19390.62,,,19390.61667
702,838.56,1.71,790.64,1.7, ,,,,,,,19390.62,,,19438.53667
712,838.56,1.71,790.64,1.7, ,,,,,,,19390.62,,,19438.53667
722,838.56,1.71,742.72,1.7, ,,,,,,,19390.62,,,19390.61667
732,838.56,1.71,790.64,1.7, ,,,,,,,19390.62,,,19438.53667
742,838.56,1.71,790.64,1.7, ,,,,,,,19390.62,,,19438.53667
752,838.56,1.71,838.56,1.71, ,,,,,,,19390.62,,,19486.45667
762,886.47,1.71,886.47,1.71, ,,,,,,,19438.53,,,19534.36667
772,886.47,1.71,838.56,1.71, ,,,,,,,19438.53,,,19486.45667
782,886.47,1.71,838.56,1.71, ,,,,,,,19438.53,,,19486.45667
792,886.47,1.71,838.56,1.71, ,,,,,,,19438.53,,,19486.45667
802,886.47,1.71,838.56,1.71, ,,,,,,,19438.53,,,19486.45667
812,934.39,1.71,838.56,1.71, ,,,,,,,19486.45,,,19486.45667
822,934.39,1.71,838.56,1.71, ,,,,,,,19486.45,,,19486.45667
832,934.39,1.71,838.56,1.71, ,,,,,,,19486.45,,,19486.45667
842,934.39,1.71,886.47,1.71, ,,,,,,,19486.45,,,19534.36667
852,934.39,1.71,838.56,1.71, ,,,,,,,19486.45,,,19486.45667
862,934.39,1.71,886.47,1.71, ,,,,,,,19486.45,,,19534.36667
872,982.31,1.72,886.47,1.71, ,,,,,,,19534.37,,,19534.36667
882,982.31,1.72,982.31,1.72, ,,,,,,,19534.37,,,19630.20667
892,934.39,1.71,886.47,1.71, ,,,,,,,19486.45,,,19534.36667
902,982.31,1.72,886.47,1.71, ,,,,,,,19534.37,,,19534.36667
912,982.31,1.72,886.47,1.71, ,,,,,,,19534.37,,,19534.36667
922,982.31,1.72,934.39,1.71, ,,,,,,,19534.37,,,19582.28667
932,1030.23,1.72,982.31,1.72, ,,,,,,,19582.29,,,19630.20667
942,1030.23,1.72,934.39,1.71, ,,,,,,,19582.29,,,19582.28667
952,1030.23,1.72,934.39,1.71, ,,,,,,,19582.29,,,19582.28667
962,1030.23,1.72,982.31,1.72, ,,,,,,,19582.29,,,19630.20667
972,1030.23,1.72,982.31,1.72, ,,,,,,,19582.29,,,19630.20667
982,1030.23,1.72,934.39,1.71, ,,,,,,,19582.29,,,19582.28667
992,1030.23,1.72,982.31,1.72, ,,,,,,,19582.29,,,19630.20667
1002,1030.23,1.72,982.31,1.72, ,,,,,,,19582.29,,,19630.20667
1012,1030.23,1.72,982.31,1.72, ,,,,,,,19582.29,,,19630.20667
1022,1078.14,1.72,982.31,1.72, ,,,,,,,19630.2,,,19630.20667
