0,-24509.8,0,-24509.8,0, ,,,,,,Bubble C,-5957.74,,Bubble G,-5861.903333
2,-15692.98,0.59,-15788.82,0.59, ,,AV offset B,-18552.06,18552.06,,,2859.08,,,2859.076667
5,-15453.4,0.61,-15645.07,0.6, ,,AV offset D,-18647.89667,18647.89667,,,3098.66,,,3002.826667
8,-15309.64,0.62,-15501.31,0.61, ,,,,,,,3242.42,,,3146.586667
10,-15117.97,0.63,-15357.56,0.62, ,,,C,G,,,3434.09,,,3290.336667
13,-14878.39,0.65,-15213.81,0.63, ,,At 80,8034.17,8082.086667,,,3673.67,,,3434.086667
16,-14734.63,0.66,-15070.06,0.64, ,,AV after 80,19217.3488,19305.47025,,,3817.43,,,3577.836667
19,-14542.96,0.67,-14974.22,0.64, ,,Max,19438.53,19534.36667,,,4009.1,,,3673.676667
22,-14447.13,0.68,-14878.39,0.65, ,,Std after 80,924.1209126,907.4662892,,,4104.93,,,3769.506667
25,-14351.29,0.68,-14830.47,0.65, ,,,,,,,4200.77,,,3817.426667
27,-14255.46,0.69,-14734.63,0.66, ,,,,,,,4296.6,,,3913.266667
30,-14207.54,0.69,-14686.71,0.66, ,,,,,,,4344.52,,,3961.186667
33,-14111.71,0.7,-14638.8,0.66, ,,,,,,,4440.35,,,4009.096667
36,-14111.71,0.7,-14638.8,0.66, ,,,,,,,4440.35,,,4009.096667
39,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4488.27,,,4057.016667
42,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4488.27,,,4057.016667
45,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4488.27,,,4057.016667
47,-14063.79,0.7,-14590.88,0.67, ,,,,,,,4488.27,,,4057.016667
50,-13967.95,0.71,-14207.54,0.69, ,,,,,,,4584.11,,,4440.356667
53,-13584.61,0.74,-13776.28,0.72, ,,,,,,,4967.45,,,4871.616667
56,-13249.19,0.76,-13440.86,0.75, ,,,,,,,5302.87,,,5207.036667
59,-12865.85,0.78,-13057.52,0.77, ,,,,,,,5686.21,,,5590.376667
62,-12674.18,0.8,-12817.93,0.79, ,,,,,,,5877.88,,,5829.966667
64,-12290.84,0.82,-12434.59,0.81, ,,,,,,,6261.22,,,6213.306667
67,-12003.34,0.84,-12099.17,0.84, ,,,,,,,6548.72,,,6548.726667
70,-11667.91,0.86,-11763.75,0.86, ,,,,,,,6884.15,,,6884.146667
73,-11380.41,0.88,-11476.24,0.88, ,,,,,,,7171.65,,,7171.656667
76,-11092.9,0.9,-11140.82,0.9, ,,,,,,,7459.16,,,7507.076667
79,-10757.48,0.93,-10853.31,0.92, ,,,,,,,7794.58,,,7794.586667
82,-10517.89,0.94,-10565.81,0.94, ,,,,,,,8034.17,,,8082.086667
92,-9607.46,1,-9607.46,1, ,,,,,,,8944.6,,,9040.436667
102,-8792.86,1.06,-8697.03,1.06, ,,,,,,,9759.2,,,9950.866667
112,-8026.18,1.11,-7978.26,1.11, ,,,,,,,10525.88,,,10669.63667
122,-7355.34,1.15,-7259.5,1.16, ,,,,,,,11196.72,,,11388.39667
132,-6684.49,1.2,-6588.66,1.21, ,,,,,,,11867.57,,,12059.23667
142,-6109.48,1.24,-6013.65,1.25, ,,,,,,,12442.58,,,12634.24667
152,-5630.31,1.27,-5534.47,1.28, ,,,,,,,12921.75,,,13113.42667
162,-5151.13,1.3,-5007.38,1.31, ,,,,,,,13400.93,,,13640.51667
172,-4671.96,1.34,-4480.29,1.35, ,,,,,,,13880.1,,,14167.60667
182,-4288.62,1.36,-4144.86,1.37, ,,,,,,,14263.44,,,14503.03667
192,-3905.28,1.39,-3761.52,1.4, ,,,,,,,14646.78,,,14886.37667
202,-3569.85,1.41,-3378.18,1.42, ,,,,,,,14982.21,,,15269.71667
212,-3234.43,1.43,-3090.68,1.44, ,,,,,,,15317.63,,,15557.21667
222,-2946.93,1.45,-2755.26,1.46, ,,,,,,,15605.13,,,15892.63667
232,-2659.42,1.47,-2515.67,1.48, ,,,,,,,15892.64,,,16132.22667
242,-2419.83,1.49,-2276.08,1.5, ,,,,,,,16132.23,,,16371.81667
252,-2180.25,1.5,-2036.49,1.51, ,,,,,,,16371.81,,,16611.40667
262,-1988.58,1.52,-1844.82,1.53, ,,,,,,,16563.48,,,16803.07667
272,-1796.91,1.53,-1653.15,1.54, ,,,,,,,16755.15,,,16994.74667
282,-1605.24,1.54,-1461.48,1.55, ,,,,,,,16946.82,,,17186.41667
292,-1461.48,1.55,-1317.73,1.56, ,,,,,,,17090.58,,,17330.16667
302,-1269.81,1.56,-1173.98,1.57, ,,,,,,,17282.25,,,17473.91667
312,-1173.98,1.57,-982.31,1.58, ,,,,,,,17378.08,,,17665.58667
322,-1030.23,1.58,-886.47,1.59, ,,,,,,,17521.83,,,17761.42667
332,-886.47,1.59,-742.72,1.6, ,,,,,,,17665.59,,,17905.17667
342,-742.72,1.6,-646.89,1.61, ,,,,,,,17809.34,,,18001.00667
352,-646.89,1.61,-551.05,1.61, ,,,,,,,17905.17,,,18096.84667
362,-598.97,1.61,-455.22,1.62, ,,,,,,,17953.09,,,18192.67667
372,-455.22,1.62,-359.38,1.63, ,,,,,,,18096.84,,,18288.51667
382,-407.3,1.62,-263.55,1.63, ,,,,,,,18144.76,,,18384.34667
392,-311.46,1.63,-215.63,1.64, ,,,,,,,18240.6,,,18432.26667
402,-215.63,1.64,-167.71,1.64, ,,,,,,,18336.43,,,18480.18667
412,-167.71,1.64,-71.88,1.65, ,,,,,,,18384.35,,,18576.01667
422,-71.88,1.65,-23.96,1.65, ,,,,,,,18480.18,,,18623.93667
432,-23.96,1.65,23.96,1.65, ,,,,,,,18528.1,,,18671.85667
442,23.96,1.65,71.88,1.65, ,,,,,,,18576.02,,,18719.77667
452,71.88,1.65,119.79,1.66, ,,,,,,,18623.94,,,18767.68667
462,119.79,1.66,167.71,1.66, ,,,,,,,18671.85,,,18815.60667
472,167.71,1.66,215.63,1.66, ,,,,,,,18719.77,,,18863.52667
482,167.71,1.66,215.63,1.66, ,,,,,,,18719.77,,,18863.52667
492,215.63,1.66,263.55,1.67, ,,,,,,,18767.69,,,18911.44667
502,263.55,1.67,311.46,1.67, ,,,,,,,18815.61,,,18959.35667
512,263.55,1.67,311.46,1.67, ,,,,,,,18815.61,,,18959.35667
522,311.46,1.67,359.38,1.67, ,,,,,,,18863.52,,,19007.27667
532,359.38,1.67,359.38,1.67, ,,,,,,,18911.44,,,19007.27667
542,359.38,1.67,359.38,1.67, ,,,,,,,18911.44,,,19007.27667
552,407.3,1.68,407.3,1.68, ,,,,,,,18959.36,,,19055.19667
562,407.3,1.68,455.22,1.68, ,,,,,,,18959.36,,,19103.11667
572,455.22,1.68,455.22,1.68, ,,,,,,,19007.28,,,19103.11667
582,455.22,1.68,455.22,1.68, ,,,,,,,19007.28,,,19103.11667
592,503.13,1.68,503.13,1.68, ,,,,,,,19055.19,,,19151.02667
602,503.13,1.68,503.13,1.68, ,,,,,,,19055.19,,,19151.02667
612,503.13,1.68,551.05,1.69, ,,,,,,,19055.19,,,19198.94667
622,551.05,1.69,551.05,1.69, ,,,,,,,19103.11,,,19198.94667
632,551.05,1.69,551.05,1.69, ,,,,,,,19103.11,,,19198.94667
642,551.05,1.69,598.97,1.69, ,,,,,,,19103.11,,,19246.86667
652,598.97,1.69,598.97,1.69, ,,,,,,,19151.03,,,19246.86667
662,598.97,1.69,598.97,1.69, ,,,,,,,19151.03,,,19246.86667
672,598.97,1.69,598.97,1.69, ,,,,,,,19151.03,,,19246.86667
682,646.89,1.69,598.97,1.69, ,,,,,,,19198.95,,,19246.86667
692,646.89,1.69,598.97,1.69, ,,,,,,,19198.95,,,19246.86667
702,646.89,1.69,646.89,1.69, ,,,,,,,19198.95,,,19294.78667
712,646.89,1.69,694.8,1.7, ,,,,,,,19198.95,,,19342.69667
722,646.89,1.69,646.89,1.69, ,,,,,,,19198.95,,,19294.78667
732,694.8,1.7,646.89,1.69, ,,,,,,,19246.86,,,19294.78667
742,694.8,1.7,694.8,1.7, ,,,,,,,19246.86,,,19342.69667
752,694.8,1.7,646.89,1.69, ,,,,,,,19246.86,,,19294.78667
762,742.72,1.7,694.8,1.7, ,,,,,,,19294.78,,,19342.69667
772,694.8,1.7,694.8,1.7, ,,,,,,,19246.86,,,19342.69667
782,742.72,1.7,694.8,1.7, ,,,,,,,19294.78,,,19342.69667
792,694.8,1.7,694.8,1.7, ,,,,,,,19246.86,,,19342.69667
802,742.72,1.7,694.8,1.7, ,,,,,,,19294.78,,,19342.69667
812,742.72,1.7,694.8,1.7, ,,,,,,,19294.78,,,19342.69667
822,742.72,1.7,694.8,1.7, ,,,,,,,19294.78,,,19342.69667
832,742.72,1.7,742.72,1.7, ,,,,,,,19294.78,,,19390.61667
842,742.72,1.7,694.8,1.7, ,,,,,,,19294.78,,,19342.69667
852,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
862,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
872,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
882,742.72,1.7,742.72,1.7, ,,,,,,,19294.78,,,19390.61667
892,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
902,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
912,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
922,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
932,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
942,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
952,790.64,1.7,838.56,1.71, ,,,,,,,19342.7,,,19486.45667
962,838.56,1.71,742.72,1.7, ,,,,,,,19390.62,,,19390.61667
972,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
982,790.64,1.7,790.64,1.7, ,,,,,,,19342.7,,,19438.53667
992,838.56,1.71,790.64,1.7, ,,,,,,,19390.62,,,19438.53667
1002,790.64,1.7,742.72,1.7, ,,,,,,,19342.7,,,19390.61667
1012,790.64,1.7,790.64,1.7, ,,,,,,,19342.7,,,19438.53667
1022,838.56,1.71,742.72,1.7, ,,,,,,,19390.62,,,19390.61667
