0.057196,-0.0033834,-1.6888e-06
0.11439,-0.0067635,-3.3758e-06
0.17164,0.03429,1.7134e-05
0.22889,0.11058,5.5249e-05
0.28613,0.21497,0.0001074
0.34333,0.34216,0.00017088
0.40048,0.48823,0.00024373
0.45755,0.65039,0.00032451
0.51455,0.82665,0.00041219
0.57146,1.0156,0.00050606
0.62829,1.2162,0.00060562
0.68503,1.4279,0.00071052
0.74168,1.6503,0.00082055
0.79824,1.883,0.00093557
0.8547,2.126,0.0010555
0.91106,2.3792,0.0011803
0.96732,2.6426,0.00131
1.0235,2.9164,0.0014446
1.0795,3.2006,0.0015841
1.1354,3.4955,0.0017286
1.1911,3.8011,0.0018782
1.2467,4.1178,0.002033
1.3022,4.4457,0.002193
1.3575,4.785,0.0023582
1.4126,5.1359,0.0025289
1.4675,5.4988,0.0027051
1.5223,5.8739,0.0028869
1.5768,6.2614,0.0030744
1.6311,6.6616,0.0032677
1.6852,7.0747,0.0034669
1.739,7.5011,0.0036722
1.7926,7.9409,0.0038836
1.8459,8.3946,0.0041012
1.8989,8.8623,0.0043253
1.9517,9.3443,0.004556
2.0041,9.8409,0.0047933
2.0563,10.352,0.0050375
2.1081,10.879,0.0052887
2.1596,11.421,0.0055471
2.2108,11.979,0.0058129
2.2616,12.553,0.0060862
2.312,13.143,0.0063674
2.3621,13.75,0.0066565
2.4118,14.374,0.006954
2.4611,15.015,0.0072599
2.5101,15.673,0.0075747
2.5586,16.349,0.0078986
2.6067,17.042,0.008232
2.6544,17.754,0.0085753
2.7017,18.485,0.0089287
2.7485,19.234,0.0092929
2.7949,20.002,0.0096682
2.8408,20.789,0.010055
2.8862,21.596,0.010454
2.9312,22.422,0.010866
2.9757,23.269,0.011292
3.0197,24.135,0.011732
3.0633,25.022,0.012186
3.1063,25.929,0.012657
3.1488,26.857,0.013145
3.1908,27.806,0.01365
3.2322,28.776,0.014175
3.2731,29.767,0.01472
3.3135,30.78,0.015287
3.3533,31.814,0.015878
3.3925,32.87,0.016494
3.4312,33.948,0.017137
3.4693,35.049,0.01781
3.5068,36.171,0.018514
3.5438,37.315,0.019254
3.5801,38.482,0.020031
3.6159,39.671,0.02085
3.6511,40.883,0.021714
3.6857,42.117,0.022629
3.7196,43.374,0.023599
3.7531,44.653,0.024631
3.7859,45.956,0.02573
3.8181,47.281,0.026907
3.8498,48.628,0.028169
3.8809,49.999,0.029528
3.9115,51.392,0.030996
3.9416,52.808,0.032589
3.9712,54.246,0.034324
4.0003,55.707,0.036224
4.029,57.19,0.038313
4.0573,58.696,0.040626
4.0852,60.224,0.043199
4.1129,61.775,0.046083
4.1403,63.347,0.04934
4.1676,64.942,0.053047
4.1949,66.558,0.05731
4.2223,68.196,0.062263
4.2501,69.855,0.068093
4.2785,71.536,0.075057
4.3079,73.238,0.083523
4.3388,74.961,0.094038
4.3722,76.705,0.10745
4.4093,78.469,0.12514
4.4527,80.254,0.14955
4.5071,82.058,0.18539
4.583,83.883,0.24313
4.7093,85.727,0.35164
5.0051,87.591,0.63007
7.3037,89.473,2.9117
-176.72,88.624,178.87
-176.05,86.704,179.52
-175.86,84.766,179.7
-175.77,82.81,179.78
-175.71,80.835,179.82
-175.66,78.844,179.85
-175.62,76.835,179.87
